"Name","Tm","Season","MP","EFG.O","EFG.D","FT.O","FT.D","TOV.O","TOV.D","REB.O","REB.D","MRG.O","MRG.D","EFG","FT","TOV","REB","NET"
"Andris Biedrins","GSW",2010,763,0.007,0.002,-0.025,0.013,-0.015,-0.004,0.015,0.032,-1.41,1.97,0.009,-0.011,-0.02,0.047,0.56
"Andris Biedrins","GSW",2011,1397,0.001,0,-0.026,0.012,-0.016,0.001,0.029,0.027,-1.88,2.11,0.001,-0.014,-0.015,0.055,0.23
"Andris Biedrins","GSW",2012,739,-0.002,0.009,-0.023,0.014,-0.015,-0.001,0.002,0.019,-3.27,2.74,0.007,-0.009,-0.016,0.021,-0.53
"Andris Biedrins","GSW",2013,495,-0.016,0.015,-0.024,0.016,-0.032,-0.003,0.006,0.028,-7.65,3.9,0,-0.009,-0.035,0.034,-3.75
"Andris Biedrins","UTA",2014,45,0.027,-0.003,-0.019,0.006,-0.034,-0.014,-0.007,0.046,-1.54,0.46,0.023,-0.013,-0.048,0.039,-1.08
"Andy Rautins","NYK",2011,24,-0.001,-0.003,-0.008,-0.004,-0.032,0.004,-0.032,-0.033,-6.3,-1.76,-0.004,-0.012,-0.028,-0.064,-8.05
"Anfernee Hardaway","MIA",2008,325,-0.01,0.002,-0.007,-0.001,-0.002,0.012,-0.026,-0.006,-3.56,1.41,-0.009,-0.008,0.01,-0.032,-2.14
"Anfernee Hardaway","NYK",2005,894,-0.009,-0.002,-0.008,-0.002,-0.001,0.002,-0.017,-0.005,-2.84,-0.32,-0.011,-0.01,0.001,-0.022,-3.16
"Anfernee Hardaway","NYK",2006,72,-0.028,0,-0.008,-0.003,-0.013,0,-0.031,0.004,-8.06,0.13,-0.027,-0.011,-0.013,-0.028,-7.94
"Anfernee Hardaway","NYK, PHO",2004,2095,-0.009,-0.001,-0.002,-0.006,0.004,0.002,-0.011,-0.008,-1.68,-0.49,-0.01,-0.008,0.005,-0.019,-2.17
"Anfernee Hardaway","PHO",2001,112,-0.004,0.001,0.002,-0.006,0.014,0.009,-0.003,-0.011,1.12,0.56,-0.003,-0.004,0.023,-0.014,1.68
"Anfernee Hardaway","PHO",2002,2462,-0.004,0,-0.003,-0.007,0.002,0.008,-0.006,-0.01,-0.86,0.27,-0.004,-0.009,0.01,-0.016,-0.6
"Anfernee Hardaway","PHO",2003,1777,0,0,-0.005,-0.006,-0.001,0.003,-0.009,-0.007,-0.83,-0.15,0,-0.012,0.002,-0.015,-0.98
"Ansu Sesay","GSW",2005,128,-0.013,0.007,0,-0.002,-0.001,-0.006,0.049,0.015,0.29,1.05,-0.006,-0.002,-0.007,0.065,1.34
"Ansu Sesay","SEA",2002,142,-0.01,0,0.003,-0.004,0.007,-0.002,-0.001,-0.001,-0.6,-0.46,-0.01,-0.001,0.004,-0.002,-1.06
"Ansu Sesay","SEA",2003,448,-0.025,0.001,-0.019,-0.005,-0.008,0.003,0.016,0.001,-5.2,0.4,-0.024,-0.024,-0.005,0.017,-4.8
"Ansu Sesay","SEA",2004,583,-0.017,0.008,-0.011,0.001,0,0.001,0.017,-0.004,-2.51,1.12,-0.009,-0.01,0.001,0.013,-1.39
"Antawn Jamison","CLE",2011,1842,0.01,-0.003,0.001,0.008,-0.002,-0.002,-0.003,0.013,1.25,0.28,0.007,0.009,-0.005,0.01,1.52
"Antawn Jamison","CLE",2012,2151,0.007,-0.004,-0.003,0.009,-0.001,-0.004,0.004,0.011,0.96,-0.07,0.003,0.006,-0.005,0.015,0.9
